Party,Won,Leading,Total
Aam Aadmi Party,1,0,1
AJSU Party,1,0,1
All India Anna Dravida Munnetra Kazhagam,1,0,1
All India Majlis-E-Ittehadul Muslimeen,2,0,2
All India Trinamool Congress,22,0,22
All India United Democratic Front,1,0,1
Apna Dal (Soneylal),2,0,2
Bahujan Samaj Party,10,0,10
Bharatiya Janata Party,303,0,303
Biju Janata Dal,12,0,12
Communist Party of India,2,0,2
Communist Party of India  (Marxist),3,0,3
Dravida Munnetra Kazhagam,23,0,23
Independent,4,0,4
Indian National Congress,52,0,52
Indian Union Muslim League,3,0,3
Jammu & Kashmir National Conference,3,0,3
Janata Dal  (Secular),1,0,1
Janata Dal  (United),16,0,16
Jharkhand Mukti Morcha,1,0,1
Kerala Congress  (M),1,0,1
Lok Jan Shakti Party,6,0,6
Mizo National Front,1,0,1
Naga Peoples Front,1,0,1
National People's Party,1,0,1
Nationalist Congress Party,5,0,5
Nationalist Democratic Progressive Party,1,0,1
Rashtriya Loktantrik Party,1,0,1
Revolutionary Socialist Party,1,0,1
Samajwadi Party,5,0,5
Shiromani Akali Dal,2,0,2
Shivsena,18,0,18
Sikkim Krantikari Morcha,1,0,1
Telangana Rashtra Samithi,9,0,9
Telugu Desam,3,0,3
Viduthalai Chiruthaigal Katchi,1,0,1
Yuvajana Sramika Rythu Congress Party,22,0,22
Total,542,0,542
